Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
-1.481,0.015,4.862,349.137,72.171,359.666
-1.455,0.013,4.861,349.156,70.701,359.933
-1.437,0.012,4.858,349.195,69.59,0.274
-1.4,0.012,4.853,348.319,67.123,0.611
-1.363,0.014,4.847,348.33,64.226,0.945
-1.334,0.016,4.844,348.131,61.771,1.325
-1.306,0.02,4.842,348.391,59.459,1.774
-1.286,0.021,4.841,347.179,57.712,2.221
-1.258,0.018,4.841,347.555,55.359,2.811
-1.24,0.018,4.841,348.848,54.164,2.504
-1.24,0.018,4.841,348.848,54.164,2.504
-1.144,0.01,4.862,349.838,46.525,2.271
-1.119,0.008,4.871,350.488,44.514,2.031
-1.11,0.007,4.875,350.308,43.849,1.97
-1.068,0.004,4.895,349.82,41.387,1.535
-1.051,0.005,4.903,349.781,40.529,1.331
-1.017,0.009,4.92,349.832,39.529,1.104
-0.992,0.016,4.931,349.473,39.229,0.857
-0.966,0.018,4.939,348.342,38.561,1.314
